time,in,out,camera_id,posture,alert
2025-09-15 23:47:43,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:43,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:44,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:44,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:44,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:45,0,0,store_front,Unknown,Inactivity
2025-09-15 23:47:45,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:45,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:46,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:46,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:46,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:47,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:47,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:47,0,0,store_front,Unknown,Inactivity Abandoned Object
2025-09-15 23:47:47,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:48,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:48,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:48,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:49,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:49,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:49,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:50,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:50,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:50,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:51,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:51,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:51,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:52,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
2025-09-15 23:47:52,0,0,store_front,Unknown,Inactivity Abandoned Object Abandoned Object
